file_name	seed	formula_x	formula_y
2018-11-17-23-49_seed_3513.png	3513	runif(1, -1, 1) * x_i^4 - sin(y_i^4)	runif(1, -1, 1) * y_i^4 - cos(x_i^4)
2018-11-17-23-49_seed_1053.png	1053	runif(1, -1, 1) * x_i^4 - sin(y_i^4)	runif(1, -1, 1) * y_i^4 - cos(x_i^4)
2018-11-17-23-49_seed_16.png	16	runif(1, -1, 1) * x_i^4 - sin(y_i^4)	runif(1, -1, 1) * y_i^4 - cos(x_i^4)
2018-11-17-23-49_seed_4502.png	4502	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^2 - cos(x_i^4)
2018-11-17-23-50_seed_2295.png	2295	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^2 - cos(x_i^4)
2018-11-17-23-50_seed_8634.png	8634	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^2 - cos(x_i^4)
2018-11-17-23-50_seed_3112.png	3112	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^2 - cos(x_i^4)
2018-11-17-23-50_seed_744.png	744	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^2 - cos(x_i^4)
2018-11-17-23-52_seed_6564.png	6564	runif(1, -1, 1) * x_i^4 - sin(y_i^2)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-52_seed_6593.png	6593	runif(1, -1, 1) * x_i^4 - sin(y_i^2)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-52_seed_985.png	985	runif(1, -1, 1) * x_i^4 - sin(y_i^2)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-52_seed_3605.png	3605	runif(1, -1, 1) * x_i^4 - sin(y_i^2)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-52_seed_7061.png	7061	runif(1, -1, 1) * x_i^4 - sin(y_i^2)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-54_seed_5753.png	5753	runif(1, -1, 1) * x_i^4 - sin(y_i^2)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-54_seed_6278.png	6278	runif(1, -1, 1) * x_i^4 - sin(y_i^2)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-54_seed_4745.png	4745	runif(1, -1, 1) * x_i^4 - sin(y_i^2)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
